roll_no,name,math,physics,chemistry,english,cs,economics
GRADSKEY00001,Student_1,84,41,44,57,36,96
GRADSKEY00002,Student_2,70,56,52,30,66,93
GRADSKEY00003,Student_3,39,35,49,57,56,54
GRADSKEY00004,Student_4,85,93,87,100,93,77
GRADSKEY00005,Student_5,44,67,55,97,51,45
GRADSKEY00006,Student_6,78,32,91,70,87,99
GRADSKEY00007,Student_7,46,60,46,97,36,61
GRADSKEY00008,Student_8,74,66,92,89,77,90
GRADSKEY00009,Student_9,36,66,68,74,59,97
GRADSKEY00010,Student_10,77,32,70,33,68,32
GRADSKEY00011,Student_11,31,98,35,66,66,49
GRADSKEY00012,Student_12,55,45,60,78,56,83
GRADSKEY00013,Student_13,31,36,71,31,38,97
GRADSKEY00014,Student_14,40,55,44,77,100,55
GRADSKEY00015,Student_15,83,54,67,80,33,78
GRADSKEY00016,Student_16,57,42,93,79,80,92
GRADSKEY00017,Student_17,30,97,77,67,100,80
GRADSKEY00018,Student_18,62,45,98,49,37,95
GRADSKEY00019,Student_19,47,52,67,94,47,82
GRADSKEY00020,Student_20,78,43,63,62,87,82
GRADSKEY00021,Student_21,49,100,56,42,45,91
GRADSKEY00022,Student_22,58,71,68,57,45,52
GRADSKEY00023,Student_23,99,91,36,73,36,34
GRADSKEY00024,Student_24,45,36,66,59,65,69
GRADSKEY00025,Student_25,64,69,39,99,99,71
GRADSKEY00026,Student_26,75,87,91,56,89,45
GRADSKEY00027,Student_27,69,35,70,89,31,81
GRADSKEY00028,Student_28,70,94,74,47,44,58
GRADSKEY00029,Student_29,50,56,65,54,91,56
GRADSKEY00030,Student_30,86,81,69,68,73,89
GRADSKEY00031,Student_31,90,65,64,31,99,92
GRADSKEY00032,Student_32,36,63,32,100,95,67
GRADSKEY00033,Student_33,55,67,34,48,100,40
GRADSKEY00034,Student_34,37,59,58,85,91,80
GRADSKEY00035,Student_35,41,85,58,86,89,60
GRADSKEY00036,Student_36,51,33,39,44,96,57
GRADSKEY00037,Student_37,70,72,62,82,89,40
GRADSKEY00038,Student_38,41,62,34,74,88,47
GRADSKEY00039,Student_39,80,94,64,51,84,99
GRADSKEY00040,Student_40,44,47,75,84,60,42
GRADSKEY00041,Student_41,58,53,49,61,56,69
GRADSKEY00042,Student_42,96,48,71,46,62,48
GRADSKEY00043,Student_43,80,84,60,51,64,89
GRADSKEY00044,Student_44,65,67,74,87,48,52
GRADSKEY00045,Student_45,55,93,49,87,35,93
GRADSKEY00046,Student_46,63,54,46,68,76,88
GRADSKEY00047,Student_47,96,47,37,71,49,56
GRADSKEY00048,Student_48,44,74,80,53,56,81
GRADSKEY00049,Student_49,56,31,36,92,87,47
GRADSKEY00050,Student_50,89,55,54,82,65,63
GRADSKEY00051,Student_51,84,36,70,52,86,92
GRADSKEY00052,Student_52,69,86,33,75,90,72
GRADSKEY00053,Student_53,59,80,69,74,73,87
GRADSKEY00054,Student_54,36,78,68,47,51,74
GRADSKEY00055,Student_55,42,64,81,74,99,55
GRADSKEY00056,Student_56,86,83,96,78,45,79
GRADSKEY00057,Student_57,57,61,32,96,89,78
GRADSKEY00058,Student_58,73,54,48,95,37,30
GRADSKEY00059,Student_59,57,63,70,45,62,59
GRADSKEY00060,Student_60,45,96,68,32,41,64
GRADSKEY00061,Student_61,97,63,42,79,96,85
GRADSKEY00062,Student_62,52,74,44,59,40,41
GRADSKEY00063,Student_63,36,45,94,88,48,35
GRADSKEY00064,Student_64,47,61,83,32,40,44
GRADSKEY00065,Student_65,74,43,40,70,99,94
GRADSKEY00066,Student_66,74,89,74,75,53,74
GRADSKEY00067,Student_67,97,65,74,30,46,35
GRADSKEY00068,Student_68,78,84,78,64,45,52
GRADSKEY00069,Student_69,41,76,35,57,77,88
GRADSKEY00070,Student_70,98,37,45,43,49,55
GRADSKEY00071,Student_71,74,78,33,94,48,35
GRADSKEY00072,Student_72,89,52,40,60,85,71
GRADSKEY00073,Student_73,50,73,97,63,40,55
GRADSKEY00074,Student_74,99,78,49,97,46,91
GRADSKEY00075,Student_75,58,43,62,54,96,63
GRADSKEY00076,Student_76,56,92,50,47,52,87
GRADSKEY00077,Student_77,88,63,97,90,70,88
GRADSKEY00078,Student_78,69,70,73,56,86,42
GRADSKEY00079,Student_79,40,76,55,60,61,42
GRADSKEY00080,Student_80,45,58,88,63,52,94
GRADSKEY00081,Student_81,82,100,94,37,78,71
GRADSKEY00082,Student_82,44,32,30,63,76,53
GRADSKEY00083,Student_83,95,30,74,71,83,52
GRADSKEY00084,Student_84,31,30,92,74,49,44
GRADSKEY00085,Student_85,65,94,42,32,73,90
GRADSKEY00086,Student_86,71,53,92,44,69,59
GRADSKEY00087,Student_87,34,56,68,78,76,75
GRADSKEY00088,Student_88,41,43,41,38,83,75
GRADSKEY00089,Student_89,56,67,50,52,66,59
GRADSKEY00090,Student_90,49,100,63,44,42,41
GRADSKEY00091,Student_91,65,30,83,98,51,75
GRADSKEY00092,Student_92,79,64,89,90,86,42
GRADSKEY00093,Student_93,66,52,86,87,95,94
GRADSKEY00094,Student_94,53,86,43,87,74,52
GRADSKEY00095,Student_95,88,58,35,77,100,47
GRADSKEY00096,Student_96,62,38,78,99,89,73
GRADSKEY00097,Student_97,80,90,54,80,51,66
GRADSKEY00098,Student_98,54,93,61,73,90,60
GRADSKEY00099,Student_99,58,56,76,47,31,49
GRADSKEY00100,Student_100,51,55,51,34,53,52
GRADSKEY00101,Student_101,47,68,76,46,87,44
GRADSKEY00102,Student_102,65,49,82,34,45,80
GRADSKEY00103,Student_103,74,52,95,90,40,73
GRADSKEY00104,Student_104,60,81,70,44,89,66
GRADSKEY00105,Student_105,45,45,60,77,44,69
GRADSKEY00106,Student_106,52,88,57,84,75,38
GRADSKEY00107,Student_107,97,50,61,63,46,93
